rank,genre,avg_rating,count
1,Documentary,0.690388464499319,16887
2,History,0.6676743206235517,9494
3,News,0.6639751552795031,322
4,Talk-Show,0.6582084690553746,307
5,Biography,0.6580960979035009,9969
6,Music,0.648576354679803,10150
7,Short,0.6484075020166711,14876
8,Animation,0.6447857624831309,11856
9,Sport,0.6445953141640043,7512
10,War,0.6274666262135923,6592
11,Reality-TV,0.6198076923076924,728
12,Drama,0.6180220441713716,48176
13,Game-Show,0.6172206303724929,349
14,Crime,0.6125225707727621,13070
15,Film-Noir,0.6092425905598243,911
16,Musical,0.6067302129897449,7606
17,Family,0.6040368653659588,9277
18,Adventure,0.6018481742472774,15610
19,Romance,0.6006893623591169,12954
20,Comedy,0.5965724490847272,29117
21,Fantasy,0.5955551107552709,7494
22,Mystery,0.5935870630512904,6122
23,Action,0.5882468183184688,19958
24,Western,0.5687889546351085,7605
25,Thriller,0.5432322254490696,9297
26,Sci-Fi,0.5312725738396624,5925
27,Adult,0.5,2
28,Horror,0.49451498127340826,10680
