stars_list,avg_rating,num_movies,rating_class,relative_freq,weighted_score
Mel Blanc,0.6688181818181818,220,1,0.047015478777854,0.031444807033515626
Frank Welker,0.6323926380368098,163,1,0.03483419563995546,0.022028888874641772
Grey Griffin,0.63993006993007,143,1,0.030560061205605102,0.01955630210437009
John Wayne,0.5974825174825175,143,0,0.030560061205605102,0.018259102303544755
Eric Roberts,0.4275912408759124,137,0,0.029277820875299992,0.012518939758212215
John Cena,0.6306060606060606,132,1,0.0282092872667124,0.017788947515766214
Johnny Mack Brown,0.5466929133858268,127,0,0.02714075365812481,0.01483765768884729
Mark Calaway,0.6368852459016394,122,1,0.026072220049537215,0.01660501227745116
Steve Austin,0.6531666666666667,120,1,0.02564480660610218,0.016750332848219075
Samuel L. Jackson,0.6173109243697479,119,1,0.025431099884384665,0.015698895777368885
Nicolas Cage,0.5490265486725664,113,0,0.024148859554079555,0.013258365015354828
Dwayne Johnson,0.6292035398230088,113,1,0.024148859554079555,0.015194547914115541
Dee Bradley Baker,0.6647321428571429,112,1,0.023935152832362038,0.01591046543186923
George 'Gabby' Hayes,0.5734234234234235,111,0,0.023721446110644518,0.013602432837320032
Robert De Niro,0.6244545454545455,110,1,0.023507739388927,0.014679514714776326
Bruce Willis,0.5087962962962963,108,0,0.023080325945491965,0.011743184358377625
Charles Starrett,0.5666355140186916,107,0,0.022866619223774445,0.012957038537733128
Jeff Bennett,0.623177570093458,107,1,0.022866619223774445,0.014249964204124112
Bob Steele,0.5650000000000001,106,0,0.022652912502056928,0.012798895563662165
Michael Caine,0.6169523809523809,105,1,0.022439205780339408,0.013843921432860826
Tom Hanks,0.6662135922330098,103,1,0.02201179233690437,0.014664555244256099
Jim Cummings,0.6158252427184466,103,1,0.02201179233690437,0.013555417358542179
Morgan Freeman,0.6289215686274511,102,1,0.021798085615186855,0.013709286198178794
Al St. John,0.5334653465346535,101,0,0.021584378893469335,0.01151451816613988
Willem Dafoe,0.6106060606060606,99,0,0.021156965450034298,0.012918571327823973
Gene Autry,0.5709183673469387,98,0,0.02094325872831678,0.01195689108009514
Steve Blum,0.6838775510204081,98,1,0.02094325872831678,0.014322624489508069
Liam Neeson,0.6258333333333334,96,1,0.020515845284881748,0.012839499840788495
Troy Baker,0.6929166666666666,96,1,0.020515845284881748,0.01421577112864931
Christopher Lee,0.5563541666666666,96,0,0.020515845284881748,0.011414076006932646
Raymond Hatton,0.5533684210526316,95,0,0.020302138563164228,0.011234562360689933
Amitabh Bachchan,0.5913829787234043,94,0,0.02008843184144671,0.011879956660276837
Jackie Chan,0.5932258064516129,93,0,0.01987472511972919,0.011790199837155478
Tara Strong,0.6208602150537634,93,1,0.01987472511972919,0.0123394261119695
Buck Jones,0.5552688172043011,93,0,0.01987472511972919,0.01103581510949264
Roy Rogers,0.5664835164835165,91,0,0.019447311676294154,0.011016581504538062
Akshay Kumar,0.5521111111111111,90,0,0.019233604954576638,0.010619087002143479
Alec Baldwin,0.6246666666666667,90,1,0.019233604954576638,0.012014591894958874
Dave Bautista,0.6215555555555555,90,1,0.019233604954576638,0.011954754012877968
Moe Howard,0.6847191011235955,89,1,0.019019898232859118,0.013023287621465558
Jack Black,0.6607954545454545,88,1,0.0188061915111416,0.012427045867873682
Larry Fine,0.6843181818181818,88,1,0.0188061915111416,0.012869418781828946
Donald Sutherland,0.5957471264367816,87,0,0.01859248478942408,0.011076419386618967
Johnny Depp,0.6579069767441861,86,1,0.018378778067706564,0.01209152631477718
Lance Henriksen,0.48000000000000004,86,0,0.018378778067706564,0.008821813472499152
Ron Perlman,0.5915294117647059,85,0,0.018165071345989044,0.010745173967956814
Anthony Hopkins,0.6184705882352941,85,1,0.018165071345989044,0.01123456236068993
Tom Kenny,0.6194117647058823,85,1,0.018165071345989044,0.011251658898427332
Keanu Reeves,0.6304705882352941,85,1,0.018165071345989044,0.011452543216841799
Ryan Reynolds,0.6394047619047619,84,1,0.017951364624271528,0.011478188023447902
Harvey Keitel,0.5928915662650602,83,0,0.017737657902554008,0.010516507775719068
Susan Sarandon,0.6224096385542168,83,1,0.017737657902554008,0.011040089243926987
Paul Levesque,0.6634146341463415,82,1,0.01752395118083649,0.01162564566143299
Gérard Depardieu,0.6010975609756097,82,0,0.01752395118083649,0.010533604313456471
Malcolm McDowell,0.5630864197530864,81,0,0.01731024445911897,0.009747163577536003
Randolph Scott,0.5979012345679012,81,0,0.01731024445911897,0.010349816532779405
Dennis Quaid,0.5991358024691358,81,0,0.01731024445911897,0.010371187204951155
Antonio Banderas,0.5648148148148148,81,0,0.01731024445911897,0.009777082518576456
John Goodman,0.6171604938271605,81,1,0.01731024445911897,0.010683199018658733
Madonna,0.6717283950617283,81,1,0.01731024445911897,0.011627782728650162
Harry Carey,0.5248148148148148,81,0,0.01731024445911897,0.009084672740211698
Laura Bailey,0.685875,80,1,0.017096537737401454,0.011726087820640222
Helen Mirren,0.6377499999999999,80,1,0.017096537737401454,0.010903316942027777
Sylvester Stallone,0.590632911392405,79,0,0.016882831015683934,0.009971555635339397
Kana Hanazawa,0.6593589743589744,78,1,0.016669124293966418,0.01099093669793196
Smiley Burnette,0.5597435897435897,78,0,0.016669124293966418,0.009330435470186844
Christopher Plummer,0.633974358974359,78,1,0.016669124293966418,0.010567797388931275
Vincent Price,0.6028205128205129,78,0,0.016669124293966418,0.010048490055157705
Ben Kingsley,0.6275641025641026,78,1,0.016669124293966418,0.010460944028072515
Nicole Kidman,0.6211538461538462,78,1,0.016669124293966418,0.010354090667213756
Tom Tyler,0.555128205128205,78,0,0.016669124293966418,0.009253501050368535
Robert Mitchum,0.6157142857142857,77,1,0.0164554175722489,0.010131835676627537
William Boyd,0.6024675324675325,77,0,0.0164554175722489,0.00991385482047567
Mark Hamill,0.6478947368421053,76,1,0.01624171085053138,0.010522918977370595
Christopher Lloyd,0.5756578947368421,76,0,0.01624171085053138,0.00934966907514142
Fuzzy Knight,0.54,76,0,0.01624171085053138,0.008770523859286946
Corey Burton,0.6717105263157894,76,1,0.01624171085053138,0.010909728143679302
Rob Paulsen,0.6367999999999999,75,1,0.016028004128813864,0.010206633029228668
John Travolta,0.5393333333333333,75,0,0.016028004128813864,0.008644436893473611
Pierce Brosnan,0.598,75,0,0.016028004128813864,0.009584746469030691
Michael Madsen,0.4728,75,0,0.016028004128813864,0.007578040352103195
Michael Paré,0.44439999999999996,75,0,0.016028004128813864,0.0071228450348448805
James Mason,0.6306666666666666,75,1,0.016028004128813864,0.01010832793723861
Sam Neill,0.602,75,0,0.016028004128813864,0.009648858485545945
Brian Cox,0.648,75,1,0.016028004128813864,0.010386146675471384
Sean Astin,0.5857333333333333,75,0,0.016028004128813864,0.009388136285050573
David Carradine,0.517972972972973,74,0,0.015814297407096348,0.008191378643432473
Ken Maynard,0.5772972972972973,74,0,0.015814297407096348,0.009129551151772377
Robert Downey Jr.,0.6401351351351351,74,1,0.015814297407096348,0.010123287407758837
Danny Trejo,0.4716216216216216,74,0,0.015814297407096348,0.007458364587941385
Johnny Yong Bosch,0.6817567567567568,74,1,0.015814297407096348,0.010781504110648795
Ben Affleck,0.6021621621621622,74,0,0.015814297407096348,0.009522771519732612
Anthony Quinn,0.6116438356164383,73,0,0.015600590685378826,0.009542005124687185
James Stewart,0.6732876712328767,73,1,0.015600590685378826,0.010503685372416017
Takahiro Sakurai,0.7005479452054795,73,1,0.015600590685378826,0.01092896174863388
Henry Fonda,0.6464383561643835,73,1,0.015600590685378826,0.01008482019784968
Luis Aguilar,0.5835616438356165,73,0,0.015600590685378826,0.009103906345166274
Pinto Colvig,0.6463013698630137,73,1,0.015600590685378826,0.010082683130632507
Matt Damon,0.6630136986301369,73,1,0.015600590685378826,0.010343405331127879
Kurt Angle,0.6631944444444444,72,1,0.01538688396366131,0.010204495962011492
Gary Cooper,0.6318055555555556,72,1,0.01538688396366131,0.009721518770929903
Bill Elliott,0.5961971830985915,71,0,0.015173177241943791,0.009046205530302543
Antonio Aguilar,0.5932394366197182,71,0,0.015173177241943791,0.009001327118741865
Keith David,0.6474647887323943,71,1,0.015173177241943791,0.00982409799735431
Burt Reynolds,0.548450704225352,71,0,0.015173177241943791,0.008321739743680157
John Carradine,0.44408450704225355,71,0,0.015173177241943791,0.006738172935753349
Woody Harrelson,0.6207042253521127,71,1,0.015173177241943791,0.009418055226091026
Jeff Bridges,0.6292957746478873,71,1,0.015173177241943791,0.009548416326338712
Humphrey Bogart,0.6624285714285714,70,1,0.014959470520226273,0.009909580686041317
Joe Anoa'i,0.6317142857142857,70,1,0.014959470520226273,0.009450111234348654
