director,avg_rating_director,movies_director,star,avg_rating_star,movies_star
Chuck Jones,0.711923076923077,306,Troy Baker,0.6929166666666666,220
Martin Scorsese,0.7054166666666667,148,Moe Howard,0.6847191011235955,163
Alfred Hitchcock,0.6771153846153847,121,Larry Fine,0.6843181818181818,143
David Fincher,0.6727906976744186,102,Steve Blum,0.6838775510204081,143
Steven Spielberg,0.6670833333333333,89,Mel Blanc,0.6688181818181818,137
Woody Allen,0.6641304347826087,83,Tom Hanks,0.6662135922330098,132
Clint Eastwood,0.6592857142857144,82,Dee Bradley Baker,0.6647321428571429,127
Friz Freleng,0.6495348837209303,81,Jack Black,0.6607954545454545,122
Kevin Dunn,0.6416993464052289,78,Johnny Depp,0.6579069767441861,120
Joseph Kahn,0.6412,70,Steve Austin,0.6531666666666667,119
William Wyler,0.6360975609756098,69,Grey Griffin,0.63993006993007,113
Mervyn LeRoy,0.6336363636363637,69,Ryan Reynolds,0.6394047619047619,113
Michael Curtiz,0.620327868852459,67,Mark Calaway,0.6368852459016394,112
Henry Hathaway,0.6184905660377359,65,Frank Welker,0.6323926380368098,111
Raoul Walsh,0.6086567164179104,62,John Cena,0.6306060606060606,110
George Marshall,0.5959420289855072,61,Keanu Reeves,0.6304705882352941,108
Allan Dwan,0.5954838709677419,60,Dwayne Johnson,0.6292035398230088,107
George Archainbaud,0.5828571428571429,60,Morgan Freeman,0.6289215686274511,107
John English,0.5788095238095238,55,Liam Neeson,0.6258333333333334,106
Gordon Douglas,0.5720754716981132,54,Alec Baldwin,0.6246666666666667,105
Norman Taurog,0.5686538461538462,53,Robert De Niro,0.6244545454545455,103
Lloyd Bacon,0.5684313725490195,53,Jeff Bennett,0.623177570093458,103
Richard Thorpe,0.568395061728395,52,Dave Bautista,0.6215555555555555,102
Howard Bretherton,0.5670833333333333,52,Tara Strong,0.6208602150537634,101
William Witney,0.5646666666666668,52,Tom Kenny,0.6194117647058823,99
Lesley Selander,0.5634710743801653,51,Anthony Hopkins,0.6184705882352941,98
John Ford,0.5633734939759036,51,Samuel L. Jackson,0.6173109243697479,98
Ray Nazarro,0.5629230769230769,50,Michael Caine,0.6169523809523809,96
George Sherman,0.5617073170731708,50,Jim Cummings,0.6158252427184466,96
R.G. Springsteen,0.5612727272727273,49,Willem Dafoe,0.6106060606060606,96
Frank McDonald,0.5602127659574467,49,John Wayne,0.5974825174825175,95
Lambert Hillyer,0.5573033707865168,48,Donald Sutherland,0.5957471264367816,94
Lewis D. Collins,0.5556521739130434,48,Jackie Chan,0.5932258064516129,93
Wallace Fox,0.5511627906976744,48,Ron Perlman,0.5915294117647059,93
René Cardona,0.55,48,Amitabh Bachchan,0.5913829787234043,93
Joseph Kane,0.5486274509803921,47,George 'Gabby' Hayes,0.5734234234234235,91
Ray Taylor,0.5484615384615384,47,Gene Autry,0.5709183673469387,90
D.W. Griffith,0.5464705882352942,46,Charles Starrett,0.5666355140186916,90
Spencer Gordon Bennet,0.5438636363636363,46,Roy Rogers,0.5664835164835165,90
William Castle,0.5397560975609755,44,Bob Steele,0.5650000000000001,89
Robert N. Bradbury,0.533,44,Christopher Lee,0.5563541666666666,88
Lew Landers,0.5255102040816326,43,Buck Jones,0.5552688172043011,88
Sam Newfield,0.5172297297297297,43,Raymond Hatton,0.5533684210526316,87
William Berke,0.5146000000000001,43,Akshay Kumar,0.5521111111111111,86
Harry L. Fraser,0.51125,43,Nicolas Cage,0.5490265486725664,86
Sean McNamara,0.47404761904761905,42,Johnny Mack Brown,0.5466929133858268,85
Jesús Franco,0.4143478260869565,42,Al St. John,0.5334653465346535,85
Fred Olen Ray,0.346,42,Bruce Willis,0.5087962962962963,85
Jim Wynorski,0.3324074074074074,41,Lance Henriksen,0.48000000000000004,85
David DeCoteau,0.2855813953488372,41,Eric Roberts,0.4275912408759124,84
